Tag,Headline,Summary,Link
The FT ViewThe editorial board,A flawed plan to raise student loan repayments,"Making vocational courses more attractive needs carrots, not just sticks",https://www.ft.com/content/e37e0a94-6ba8-49f8-bf87-73b8353620ba
US foreign policy,"US generals say Biden should have kept 2,500 troops in Afghanistan",Mark Milley calls the evacuation a tactical success but the war a ‘strategic failure’,https://www.ft.com/content/5c5dd811-353e-48e5-bb91-31ac4ef37b23
Martin Wolf,The strange death of American democracy,A constitutional crisis looms as Trump tightens his grip on the Republicans ahead of 2024,https://www.ft.com/content/a2e499d0-10f0-4fa2-8243-e23eedc4f9f4
UK business & economy,Panic buying of fuel shows early signs of easing,"Ministers and industry figures express hope crisis is abating, although many petrol stations lack supplies",https://www.ft.com/content/d9fcbfa0-8f05-4578-8393-aebd0a3f6c84
David Gardner,Autocracy has filled the ideological vacuum in the Middle East,"Even Tunisia, once the cradle of democratic hope in the region, is moving towards one-man rule",https://www.ft.com/content/48d42014-2daa-4b0b-abd0-a6d2ffbfdf69
Federal Reserve,Warren to oppose second Fed term for ‘dangerous man’ Powell,Progressive Democratic senator says US central bank chair is weak on banking regulation,https://www.ft.com/content/abfdbe94-f57b-4122-8a26-cc5394a6b919
European Central Bank,Christine Lagarde sets ECB apart in central banks’ shift to tighter policy,President promises not to ‘overreact’ to temporary shocks driving inflation higher,https://www.ft.com/content/81c48cca-7e11-4888-b633-511996789648
Labour Party UK,Starmer abandons conciliation with left to tighten grip on Labour ,Leader wins key battles but also experiences limits of his power at party conference,https://www.ft.com/content/83e42950-08ce-416e-baf8-8922898f2982
Daniela Schwarzer,Change is in the air in Germany despite a messy election outcome,Whoever forms the next government is going to come under popular pressure to act on climate policy,https://www.ft.com/content/42cdcce0-0ae2-4015-8aa0-7370d503ed52
Currencies,UK fuel crisis sparks drop in sterling over slowdown worries,Fears of poor growth and higher inflation as currency falls while bond yields rise,https://www.ft.com/content/9cbc6fc3-7f8d-4b98-873f-617ac86ff746
Sebastian Payne,Big ideas are sorely lacking at Labour party conference,Internecine warfare is still sucking up more energy than countering Boris Johnson’s Tories,https://www.ft.com/content/de002799-fa8a-48d0-8172-b0f148569cc0
Helen Thomas,Southeastern mess is a fitting farewell to UK rail franchising,Go-Ahead will be operating under a cloud while investigations continue with the threat of further penalties,https://www.ft.com/content/442cc127-109c-471e-af33-c49bcdbaa9fd
US economy,US home price gains hit new record for fourth straight month,Increase of almost 20% from last year has left some buyers on sidelines,https://www.ft.com/content/82aa289c-1b6a-426f-9da3-746f4e3a90b6
The best books of the week,Lives Between the Lines by Michael Vatikiotis — identity on the Levant,This family-memoir-cum-travelogue is a paean to tolerance between faiths and communities,https://www.ft.com/content/fbc3574b-e8e9-48ba-833d-80275d4382d1
Chinese business & finance,"China’s pet care spend set for dramatic increase, says Goldman",US bank predicts sixfold increase in pet food sales to meet demands of growing singles population,https://www.ft.com/content/d9b76550-bd18-4f1a-acf1-68fb6616cd65
News in-depthUK energy,"Britain’s energy regulator should have tightened rules sooner, ex-boss says",Former Ofgem chief says that with hindsight he would have imposed ‘stronger licence conditions’ on suppliers earlier,https://www.ft.com/content/36ba7a23-7472-474e-9576-8053a560ef07
Janan Ganesh,The controlled populism of Joe Biden,Republicans will become ever more extreme to distinguish themselves from a Democrat who is enacting their ideas ,https://www.ft.com/content/45bf0c74-1c94-46d8-a8f3-65136bce3a7c
FT SeriesCan Boris Johnson change the face of Britain?,Can Boris Johnson turn Britain into a scientific leader?,"PM’s initiative will hinge on greater collaboration between universities and industry, say researchers ",https://www.ft.com/content/dd6d1bcf-bc36-41ae-8abf-1c1308f822ef
Aukus,"EU should stop being ‘naive’ about US strategic interests, says Macron",French president’s first comments on Aukus deal come as he signs €3bn frigate deal with Greece,https://www.ft.com/content/59439729-4f5d-4229-8fcd-4911726befc6
Poland,Polish regions row back on anti-LGBT stance after EU threat to funds,Brussels and Warsaw still at loggerheads over rule of law and judicial independence,https://www.ft.com/content/d10727af-1530-441d-8457-09b936fb297b
LexProperty sector,US property: cash buyers drive demand for speciality financing Premium content,Prospective homeowners are turning to start-ups that offer to help them line up cash bids of their own,https://www.ft.com/content/3dded789-0f89-4a8c-9b42-1c1204c69708
Energy Source,The commodities surge comes for oil  Premium content,"Plus, crunch time for Democrats’ energy and climate agenda and solar groups say new tariffs could be ‘fatal’ for the industry ",https://www.ft.com/content/2dc50221-5e4a-4dc2-8867-d51b553f26f0
Go-Ahead Group PLC,UK government to take control of Southeastern rail franchise,"Probe finds ‘serious breaches’ of group’s franchise agreement, says transport secretary",https://www.ft.com/content/f72054bd-bcf0-4d93-8083-f498b59979a6
Trade Secrets,The sensitive game of sharing intelligence across the Atlantic Premium content,Export controls and FDI are obvious but tricky areas for the new EU-US Trade and Technology Council,https://www.ft.com/content/a5e432b0-e3ee-4afd-a701-e864d74096b9
Northern Ireland,Unionist leaders issue joint declaration opposing Northern Ireland protocol,Parties call on British government to scrap Irish Sea customs border,https://www.ft.com/content/f387ba59-2699-4540-83ec-112b9ff60ee8
FT Globetrotter,Leading Hotels of the World chief Shannon Knapp on the best of Brooklyn and beyond,The head of the independent luxury-hotel group likes to enjoy her home borough’s excellent food offerings and explore its green spaces with her family — followed by a night in Manhattan,https://www.ft.com/content/8d64c9e3-a6fb-486b-8d86-cd33d968732e
FirstFT,FirstFT: Fed officials warns of ‘extreme’ market reaction unless debt ceiling raised,Republicans block bill to raise US debt ceiling and Facebook postpones launch of Instagram Kids,https://www.ft.com/content/17ce1ccd-e997-48c4-bdc2-dafe6b7aecd9
The FT ViewThe editorial board,Argentina could repeat its economic woes,Government feuds hide need for private investment and a more open economy,https://www.ft.com/content/31c3bf47-76c8-4578-96cb-3ddc22866d39
US-China trade dispute,US pushes China trade despite ‘complicated relationship’,Gina Raimondo seeks access for American companies even as tensions with Beijing rise,https://www.ft.com/content/f1b37340-fe64-4a93-a1a2-bac4013c1d5c
Sunac China Holdings Ltd,Chinese developer Sunac seeks to avoid Evergrande contagion,Hong Kong-listed group denies asking government for liquidity relief and buys back $34m of its bonds,https://www.ft.com/content/1ffb1250-979b-409f-8f0a-b7fd93185399
Coronavirus pandemic,"Coronavirus: ‘Mix and match’ booster data to be available in coming weeks, Fauci says — as it happened",Paris unhappy with EU-US discussions due to submarine dispute,https://www.ft.com/content/881298ff-52b9-4690-8cfb-9ad0ebd9e64a
Europe Express,EU unity frays ahead of Pittsburgh meeting Premium content,"Populist leader is playing a dangerous game by provoking supporters to question country’s institutions, say critics  ",https://www.ft.com/content/07e9e658-7470-44d6-9640-ed2bffde4f2c
The Big Read,Bolsonaro tests Brazilian democracy: ‘Only God can take me from presidency’ ,"Two major shareholders are at loggerheads, it barely serves as lender of last resort and now its credibility is in jeopardy",https://www.ft.com/content/1770b0f8-3740-45db-a032-eedfdb0f8920
Global InsightJonathan Wheatley,Georgieva data scandal heightens IMF identity crisis,"Whatever the coalition talks muster, a revolutionary spirit is in the making in Germany. ",https://www.ft.com/content/82e01e1e-19b1-4886-8af4-e995582f7099
FT AlphavilleIzabella Kaminska,What do the German election results mean for markets?,Social Democrat aimed his campaign at voters who wanted more of qualities they saw in outgoing chancellor,https://www.ft.com/content/3f233727-854b-42f3-9855-8959bcc774f6
News in-depthGerman politics,Merkel’s natural heir: how Olaf Scholz won Germany’s election,"Despite stable elections and a functional state, self-declared nation struggles to win global acceptance",https://www.ft.com/content/de7669b5-da22-4fe1-bf33-a11eb50885d6
Africa,Somaliland battles for recognition after 30 years’ fending for itself,A former submarine commander has instilled confidence in jab programme that had a faltering start,https://www.ft.com/content/e8bb48cb-6255-4d66-b29d-353b211f06ec
News in-depthCovid-19 vaccines,Portugal emerges as Europe’s vaccination frontrunner after public health drive,"Rather than acknowledging trade-offs and planning, politicians are exposing migrant workers to more exploitation",https://www.ft.com/content/1b9f5dd0-0ddb-449d-b11d-f27998502d7d
Sarah O'Connor,Temporary lorry driver visas are a symptom of government failure,Acute shortage of staff forces hospitals in worst-affected states to ration patient care,https://www.ft.com/content/73fb9887-055f-4a5b-89b1-5df0c37ecc2b
Coronavirus pandemic,‘Totally exhausted’: latest Covid wave pushes US nurses to brink,"Action needed now ‘to save the industry under Brexit rules’, say hospitality business leaders",https://www.ft.com/content/d703e190-7b0a-447b-b8f8-bd6f700cb6d6
UK retail industry,Restaurants and hotels press UK government to ease visa rules for staff,Female athletes are preparing for the worst despite promises of a more moderate rule,https://www.ft.com/content/8de872cd-06fe-433c-8e46-c385f5a10980
Afghanistan,The Afghan cricketers living in fear of the Taliban ,State governor Kathy Hochul pleads with health workers to get jab instead of being sacked,https://www.ft.com/content/e4e28df5-267f-48c5-8ce3-d58b8dd47fef
Covid-19 vaccines,Fear of nursing shortages as vaccine mandate looms in New York,Intervention from Williams comes as Yellen says failure to increase borrowing limit would be ‘catastrophic’,https://www.ft.com/content/4b4ddb2b-929e-4b0b-b364-a9897d8f1a2d
Ford Motor Co,Ford plans $11bn electric pick-up truck investment with battery maker SK,"Plants in Kentucky and Tennessee would employ almost 11,000 workers as carmaker pursues emissions goal",https://www.ft.com/content/8cea01d2-362a-4c5b-8291-1d27b448ef01
Labour Party UK,Starmer hit by fresh turmoil at Labour party conference ,Delegates defy opposition leader on foreign policy while shadow cabinet member resigns,https://www.ft.com/content/2dc75478-72db-4a53-b831-cc04b0462484
UK business & economy,UK fuel crisis threatens to hit health services and industry,Essential workers and transport companies seek priority for supplies as military put on standby ,https://www.ft.com/content/3f6fefe3-3e02-47af-b2d9-0a125701f802
Federal Reserve,Regional Fed chiefs resign after securities trading controversy,Boston president Eric Rosengren and Dallas head Robert Kaplan to retire next month,https://www.ft.com/content/b899a77f-9853-4d20-ad84-21848b7e7ce2
UK interest rates,"All MPC members ready to raise UK rates this year if needed, says Bailey",Governor says BoE would act to prevent higher inflation becoming persistent,https://www.ft.com/content/b3e403a3-a408-4d84-b71e-8857b677bbea
FintechFT,Small banks provide big opportunity for fintechs  Premium content,"Plus, ‘Buy now, pay later’ debt is a hit on Wall Street and a Q&A with the co-founder of Paris-based roboadviser Cashbee",https://www.ft.com/content/b3b3e491-37e6-4b19-b172-5e72003f0aa7
The FT ViewThe editorial board,Memo to Boris Johnson: prenez un grip,A hard-won reputation for competence can very quickly be lost,https://www.ft.com/content/95bb5c85-1778-4e1e-bb13-c063f069aeba
The FT ViewThe editorial board,Political renovation is a German strength,Scholz pulls off victory but smaller parties hold the key to power,https://www.ft.com/content/0cf81372-eb50-4d4c-8d81-891dfe518b4d
UK politics & policy,Starmer level with Johnson in poll as fuel crisis bites ,No 10 seeks to prevent shortages and panic buying turning into ‘winter of discontent’,https://www.ft.com/content/f49d7a7e-7399-416e-8cf0-113dcded5753
Instant InsightBen Hall,"After Merkel, the CDU surveys the wreckage ","As Laschet and Scholz vie for a coalition mandate, the Greens and the Liberals prepare to talk directly",https://www.ft.com/content/ca3cd839-3932-447b-bd85-84c783c4c7dc
Helen Thomas,UK audit failings highlight need for new approach,Grant Thornton’s ‘lack of competence’ over Patisserie Valerie shows why sector needs rebuilding from the bottom  ,https://www.ft.com/content/cf5153c6-52bb-43dd-9efd-817aeaf7bb93
Jude Webber,Words are a minefield on the island of Ireland ,"A century after partition, political division remains entrenched in language  ",https://www.ft.com/content/b2e7c505-95b7-41c9-8a83-e7c175f1f8c0
French presidential election,France’s centre-right party to hold presidential primary in December,"Xavier Bertrand, who leads in the polls, needs to see off Valérie Pécresse and Michel Barnier",https://www.ft.com/content/5953c751-d086-4952-b09d-cdbad8d39585
US quantitative easing,Fed official signals economy is strong enough for taper to begin,John Williams urges ‘patient’ approach to tightening policy further by raising rates,https://www.ft.com/content/f27909ee-9284-4718-95d0-076717460a33
UK business & economy,"UK consumers face £820m bill for failed energy groups, research finds",Some industry experts have forecast that as few as ten suppliers could survive the winter,https://www.ft.com/content/3ac845c1-634d-4424-bcd7-bb938fee02c3
Austria,Party of Covid vaccine sceptics wins seats in Austria’s regional parliament,MFG’s unexpected success suggests pandemic’s impact on European politics is starting to be felt,https://www.ft.com/content/afbc2a99-8b90-4a31-a8c3-70965b25a6d8
German election,Germany’s ‘kingmaker’ parties to start talks after narrow SPD election win,Greens and liberals aim to bridge differences in search of coalition deal with Scholz or Laschet,https://www.ft.com/content/fe539f99-8311-4ad7-96c0-ebc30ed9c1a0
UK energy,Al Gore fund to take stake in UK energy supplier Octopus,Generation Investment Management agrees $600m deal valuing start-up at as much as $4.6bn,https://www.ft.com/content/eed210bb-1047-47df-abd8-7a73b0062ac7
Jeffrey Sachs,Anti-China hysteria lies at heart of action against IMF’s Georgieva,Her fall would prove the fund has mere trappings of multilateralism — leaving others to go their own way,https://www.ft.com/content/c5083dc2-286f-4784-bc51-a8d34f88e86f
FT SeriesCan Boris Johnson change the face of Britain?,Does Boris Johnson have the right plan to ‘skill up’ the UK workforce?,Prime minister is betting on improvements to vocational training that experts say is badly underfunded in England,https://www.ft.com/content/4954c5e0-4592-4dd5-85d3-207657a76afe
ExplainerGerman election,Germany’s post-Merkel era: the coalition options and what they mean,Accord between Greens and liberal FDP will determine who governs the eurozone’s largest economy ,https://www.ft.com/content/5b7b9604-0f79-4ce8-8116-7b13e03b8741
Oil & Gas industry,Oil prices hit three-year high as gas crunch starts to affect crude market,Goldman Sachs lifts year-end Brent forecast to $90 a barrel on widening ‘supply-demand deficit’,https://www.ft.com/content/ad4ae04c-65ef-4ec3-afdf-28f559f72ff3
FT Collections,Greensill Capital,The unravelling of the finance company backed by SoftBank and advised by former UK prime minister David Cameron,https://www.ft.com/content/a6d578c4-9a57-4375-b7b2-c88d4b7cc21f
UK politics & policy,Labour seeks to bury Corbyn’s legacy with commitment to economic stability ,Shadow chancellor Rachel Reeves pledges £28bn to fund Britain’s ‘green transition’,https://www.ft.com/content/0bf3c1ab-5fbf-4a44-a54b-004e6241d350
Berlin,Berlin voters back call for property expropriation,Referendum results reflect frustration in German capital over speculation and skyrocketing rents,https://www.ft.com/content/dfabdf27-0d85-4659-9a65-2e84ada7bb0b
Oil & Gas industry,US LNG exporters plan projects to capitalise on European shortages,Reversal comes as Biden administration pushes to decarbonise the energy system,https://www.ft.com/content/7f0cffa9-1ae0-4b91-913e-e5fa8c2a28c9
Gideon Rachman,Europe still lacks a unifying vision,The German election ought to open up new possibilities for the EU — if only it could take them,https://www.ft.com/content/7f58536c-5005-49bc-a1e0-06065aa8b7f0
LexBitcoin,Cryptocurrency/China: loophole closure is bad for exchanges Premium content,Huobi cannot expect to offset fully its client losses ,https://www.ft.com/content/49352b1d-24e5-43a0-ba86-e2584f358869
German election,Germany’s election results in charts and maps,Social Democrats win on night as parties head for coalition talks ,https://www.ft.com/content/501b1f94-67e7-4418-b2e9-eee6022bb12c
FT Swamp Notes,Are men in danger? Premium content,Society will be better if we make education more boy friendly and encourage more males to go into care work,https://www.ft.com/content/6ec88def-83ab-4ab2-a6be-2a221b9a826b
Chinese politics & policy,China tightens abortion controls as population crisis looms,"Efforts to boost birth rates comes as Beijing overhauls business, technology and culture",https://www.ft.com/content/823378bf-af1f-41bd-b228-354b274d1542
FirstFT,FirstFT: Social Democrats edge tight German election,"Democrats delay infrastructure bill vote, China crackdown on crypto exchanges",https://www.ft.com/content/01a5272f-7c72-4464-af48-9a1ffb3281a8
Trade Secrets,‘The Michaels’ and the truth about hostage diplomacy in China Premium content,"While the 3-year saga over the detainment of the daughter of Huawei’s founder has ended, concerns over China’s tactics linger ",https://www.ft.com/content/acdd68ab-8996-472d-890c-a7eba395c8ba
Bank of Ireland,Bank of Ireland chief blames pay cap for CFO’s exit,Myles O’Grady’s decision to leave linked to restrictions imposed after country’s 2008 banking crisis,https://www.ft.com/content/d800c936-37e0-4d3c-b1d1-ac25671de64d
German election,Greens and FDP emerge as kingmakers in bid to succeed Merkel,Traditionally dominant SPD and CDU/CSU must woo smaller parties to determine who becomes chancellor,https://www.ft.com/content/35d5f827-2c04-42b0-b8e2-fff3ed8f88da
Cryptocurrencies,Cryptocurrency exchanges start cutting off Chinese users,Overseas operators restrict services after Beijing bans all digital currency activities ,https://www.ft.com/content/9c42c660-7e80-47c2-8b3b-3398c6a22eaf
German election,German election 2021: FT subscriber webinar,Join FT correspondents on October 4 to discuss the results of the election and its implications for Germany and the world,https://www.ft.com/content/76419730-3040-4904-8b69-ee3ea244daaf
Kosovo,Serbia-Kosovo border tensions escalate,Protests by ethnic Serbs in Kosovo border town erupt over restrictions on cars with Serbian licence plates ,https://www.ft.com/content/6977311b-990a-40e2-a6a6-603a0354ca8c
Evergrande Real Estate Group,Evergrande electric car division cancels Shanghai listing,Hong Kong shares of Chinese property group unit fall by as much as a quarter as liquidity crisis broadens,https://www.ft.com/content/0c4d3394-e4d1-4150-8788-92b754eafea2
Chinese economy,"Power crunch threatens Chinese economic growth, warn banks ",Strict emissions targets as well as rising coal prices are putting industry under pressure,https://www.ft.com/content/cf15cabe-3b37-4ce0-8376-ad6d2c5622e7
UK business & economy,Johnson prepares to call in army as panic buying drains UK petrol pumps,Competition rules eased with half of garages outside motorway network estimated to have no fuel ,https://www.ft.com/content/7e79e4a8-7a1e-4b2c-8f81-cbf4e9969e28
German election,Scholz and Social Democrats win tight German election,Country heads for long talks over three-way coalition as Laschet insists CDU can also form government,https://www.ft.com/content/1eab7e3a-8365-4f6a-ad59-5a83c3bdf891
Europe Express,German election likely to extend Merkel’s long goodbye Premium content,Tortuous coalition talks could push into the new year,https://www.ft.com/content/f30df070-5415-4bd7-b4b4-0bdd4dff3b3c
FT Asset Management,"The tale of Ray Dalio, Chinese officials and the $10 ‘miracle devices’","Plus, inside the conflicts of interest engulfing DWS’s greenwashing allegations, and how ‘Trad-Fi’ is pushing back on stringent crypto rules ",https://www.ft.com/content/523c210c-e064-43d8-a084-44d821e776b0
Special Report,FTfm: Fixed Income,Bond fund managers stay on guard against inflationary risk; bond investors brace for change of tack by central banks; a look at bonds with negative yields around the world; why should we bother with bonds?,https://www.ft.com/ftfm-fixed-income
Coronavirus economic impact,"End of Covid job schemes still leaves US, EU and UK short of workers",Few expected the labour shortages now crimping developed economies — but few also now expect them to end soon,https://www.ft.com/content/f6da4a8d-0b93-495b-8dcd-0c988a52c066
Special ReportFTfm: Fixed Income,Bond investors brace for change of tack by central banks,Anticipated squeeze on quantitative easing heralds end of bull run,https://www.ft.com/content/b0bae0c5-b285-4c20-b07c-6fb7a28f3d65
Special ReportFTfm: Fixed Income,Bond fund managers stay on guard against inflationary risk,Opinion is divided on whether price rise pressures will subside or persist,https://www.ft.com/content/8b93f6ba-52d4-4a6c-b91f-f67229d1985a
ExplainerCoronavirus treatment,Antiviral pill: How close are we to a drug to treat Covid?,Scientists seek breakthrough in effort to ease virus symptoms and speed up recovery times,https://www.ft.com/content/48cf11f5-9588-4487-b262-f6f26e901ec2
FT Globetrotter,Rambles from the Ritz: three walks exploring the environs of a London landmark ,"The streets and parks around one of the UK capital’s most storied hotels have their own fascinating tales to tell — of Georgian starchitects, midcentury modernists, military heritage and . . .  pelicans  ",https://www.ft.com/content/75f3ca9d-e2f4-4c20-a098-723f5793515b
The Big Read,European defence: the quest for ‘strategic autonomy’,The Aukus deal shows the need for more military collaboration between EU states but the US remains the indispensable partner,https://www.ft.com/content/f14c3e59-30bb-4686-8ba3-18ff860647e7
Ruchir Sharma,Evergrande’s troubles show China is just as susceptible to capitalism’s ill effects,The question is whether Xi Jinping will intervene to bail out indebted companies or let defaults spike,https://www.ft.com/content/8a2d17ea-ec5c-4b80-90f6-b4764c7cac12
Inside BusinessPatrick Jenkins,UK energy companies are like macho banks circa 2007,"Crisis raises questions over governance, risk controls and regulation in sector",https://www.ft.com/content/2a255140-2469-40ad-818c-3d814a6454ad
Special ReportFT Health: Communicable Diseases,Controversial virus research sparks political debate in US ,"Manipulating DNA to make pathogens more harmful is essential to understand how they behave, proponents argue",https://www.ft.com/content/b328636c-1149-4562-aa6f-f1b0302d3ab9
The Commodities NoteAndrey Sizov,State intervention threatens Russia’s position as a wheat superpower ,Excessive export taxes will hit the farmers’ ability to invest in production and stifle output,https://www.ft.com/content/58b2f6a9-e148-456e-9726-8123af7f169e
News in-depthBanca Monte dei Paschi di Siena SpA,Tension mounts as Monte dei Paschi di Siena nears its end ,"UniCredit is poised to carve up world’s oldest lender, sparking consolidation of Italy’s banking system",https://www.ft.com/content/a020dcba-d135-4ef9-8e67-ba44bc1921be
Special ReportFT Health: Communicable Diseases,Covid provides fresh impetus to tackle global obesity ,"Being overweight not only increases risk of infection for coronavirus, but for cardiovascular conditions and cancers too",https://www.ft.com/content/e800fea6-e61a-4b9e-9f03-7401847efaa8
Special ReportFT Health: Communicable Diseases,Budget cuts hinder efforts to eliminate neglected tropical diseases,"As donated drugs near expiry, time is running out to distribute them, just as the peak season for infection approaches",https://www.ft.com/content/1e6bd27d-d448-4b3a-8d50-fea3be97c93f
News in-depthJapanese politics & policy,Young Japanese MPs revolt in world’s fastest ageing society,New generation sees the race to replace Suga as a chance to change how politics is conducted  ,https://www.ft.com/content/fbf7510b-fdf5-40c5-867e-56388830e9d4
US politics & policy,Democrats face intense week of haggling to save Biden’s economic plan,Nancy Pelosi hints votes are not yet there for spending bill as deadline to avoid government shutdown looms,https://www.ft.com/content/b9f23749-380c-4170-afb7-83e21e3d6db0
News in-depthIPOs,Indonesian tech start-ups abandon US Spac deal plans in favour of going local,Blockbuster domestic IPO of ecommerce group Bukalapak ‘fired the starting gun’ for fundraising,https://www.ft.com/content/06a4f2b4-297a-497e-a98e-e12bbec39fff
Coronavirus pandemic,Covid sparks biggest fall in life expectancy since second world war,Oxford study of developed nations finds American men hit hardest by pandemic,https://www.ft.com/content/314a387b-4024-4855-9aad-d3d448dbc182
News in-depthNikkei Asia,China goes on an intellectual property offensive,Enhanced IP legislation means foreign companies need to be ready for lawsuits,https://www.ft.com/content/c78b69e3-82bd-4f72-881c-12b2ca1ce926
Instant InsightBen Hall,Laschet claws back ground in Germany’s coalition contest,CDU/CSU crashes to historic election defeat but still takes shine off SPD performance,https://www.ft.com/content/d7492ce7-3ead-4083-a0e9-49d0e610e33a
UK politics & policy,Labour to slash tax reliefs and hit wealthy in pursuit of balanced UK budget,Shadow chancellor to counter Tory claims party would resort to excessive borrowing,https://www.ft.com/content/5dcfa73d-5a39-4f95-b8b3-b706bf9239ce
UK universities,No 10 plans to lower salary level at which graduates start repaying loans,Bill to UK taxpayer deemed too high amid effort to encourage more students into vocational training ,https://www.ft.com/content/f77fe7ee-6165-427a-8754-e90d22d5689f
UK business & economy,UK visa schemes to ease lorry driver shortages dubbed ‘not enough’  ,Business leaders say government initiatives to let in more foreign workers ‘throwing thimble of water on bonfire’,https://www.ft.com/content/683b4e41-9470-46ce-9c32-fe75214c4bf2
The FT ViewThe editorial board,Keir Starmer has little time to win over UK voters,Labour leader needs to show the public his values align with theirs,https://www.ft.com/content/9b724fa5-d3c5-4cf8-b8f5-8b1474894155
The Week Ahead,A week for the waiting to end,"Some long-delayed events take place this week, including significant milestones in moving on from the pandemic",https://www.ft.com/content/9b179c5b-f08c-4857-a6ea-882c1b31e35a
UK social care,Care homes struggle as pandemic prompts changes to business model ,UK’s biggest operator HC-One targets state funded residents — but some question whether this still works following crisis ,https://www.ft.com/content/722646fd-e139-41a1-b86b-be0da8d18117
Travelista,Four new hotels for a great city break,"Check in to LA, London, Paris and Boston",https://www.ft.com/content/4bd8023f-33fb-435c-9278-610c547f7877
Iceland,Iceland coalition maintains majority but PM’s future in balance,Hopes that female MPs would take most seats in parliament dashed after late recounts,https://www.ft.com/content/a6cdfadd-9bb7-4ef1-816a-d069802f8f09
German election,Germany’s ‘2015 migrant wave citizens’ cast first votes,Many of a refugee background say they will choose between Greens and far-left Die Linke party,https://www.ft.com/content/186bf910-d4f4-468a-9f89-857dc6075a58
Martin Sandbu,Energy crisis is moment of truth for Europe’s green ambition,Today’s soaring bills reflect unfinished work and the need to galvanise climate politics,https://www.ft.com/content/ab284905-8f54-4200-ab12-783d4580ad03
Peru,Peru’s radical left government weighs bond issue after wooing investors,Finance minister projects message of moderation after charm offensive in the US with President Pedro Castillo,https://www.ft.com/content/e4aa95d9-f103-4309-84b4-ff16591063c0
Pensions industry,Pension funds balk at No 10 appeal to fuel UK investment boom ,Call to back government plans with retirement schemes’ cash raises concerns on cost and complexity,https://www.ft.com/content/d2f9d976-a730-4f9b-9c45-2da69f117142
Aerospace & Defence,Naval Group vows to claw back millions for cancelled submarine deal ,French defence contractor says Australia faces penalty clauses after pulling out of A$90bn contract in favour of rival Aukus deal,https://www.ft.com/content/37042bf8-c3b7-4173-a0de-628b440f2933
Rana Foroohar,The US and EU should talk about competition,"They can find common ground by agreeing on rules for the 21st century economy, rather than allying against China",https://www.ft.com/content/5bf8072e-ab2f-47b9-a56e-88ab5e9f3a26
UK politics & policy,Labour left fury as Starmer wins backing for rule book reforms,Leader hails ‘important step’ after conference victory for party’s centrists,https://www.ft.com/content/aedc90ee-b78a-4560-966a-e5f477f720f2
Evergrande Real Estate Group,Chinese cities seize Evergrande presales to block potential misuse of funds,State intervention gathers pace as second bond deadline looms for indebted property developer,https://www.ft.com/content/595c3f50-755d-4dcc-afc3-4c993e50a936
German election,Germany votes on successor to Angela Merkel,Polls point to tight election race between centre-right and Social Democrats,https://www.ft.com/content/cecc41d7-4314-4852-bedb-c2bedf68c5b4
Shipping,"Governments must relieve supply chain turmoil, says shipping boss","Intervention needed to avoid ‘out-of-control situation’, warns Mitsui OSK Lines president",https://www.ft.com/content/e587b44e-3307-43d5-9299-93d23735935d
Italy,Italy’s poor feel the pain from surging energy costs,Gas crisis starts to bite in country that spends proportionately more on household bills than rest of eurozone ,https://www.ft.com/content/84c0727b-b35b-4115-8e19-1474eef6b2be
KGHM Polska Miedz SA,Poland’s KGHM turns to nuclear as alternative power source,Copper producer to build small modular reactors to ensure self-sufficiency and protect it from volatile energy prices,https://www.ft.com/content/a7404eff-474d-4f49-9e83-6602c5b48bef
News in-depthGlobal migration,"After a perilous journey north, Haitian migrants face uncertain future",The arrival of thousands of migrants at the Texan border with Mexico has been met with crackdowns ,https://www.ft.com/content/434b79cc-f1e5-4125-b58e-4ee92d7af658
UK housebuilding,UK home building schemes held up by water pollution concern,Delays to construction of tens of thousands of sites threatens government housing targets,https://www.ft.com/content/3d313215-73eb-42d9-aa4e-f39763338ae2
Renewable energy,UK start-up plans world’s longest subsea electric cable with Morocco,Former Tesco chief Dave Lewis behind £16bn Xlinks’ project to take solar and wind energy from north Africa to Britain,https://www.ft.com/content/d3b8947a-bdb1-445e-80f7-a19b51dd977d
The FT ViewThe editorial board,Democrats missing big picture on taxes,Failure to reform inheritance will leave Gatsby-level inequality intact,https://www.ft.com/content/a849a2a7-0d70-4314-9f8d-cd3cf54cbb9d
LexNew York City,New York jams: traffic takes a toll Premium content,Authorities should design a scheme that protects vulnerable New Yorkers,https://www.ft.com/content/4c0d4579-cf5d-431d-a663-d73f7597fa75
News in-depthAfghanistan,‘I thought they would have our backs’: the plight of Afghan allies the west left behind,"Bewildered and feeling abandoned, thousands who aided US-led mission fear Taliban wrath",https://www.ft.com/content/5430b9a7-08b3-470f-957b-6c099721d92f
FT SeriesCan Boris Johnson change the face of Britain?,Levelling up: Johnson’s battle to turn slogans into effective policies,The prime minister has plans to transform the country. But does he have the skills to mobilise the government machinery?,https://www.ft.com/content/709b8db1-7ec6-4c10-b25e-f6a0272642d7
News in-depthUS-China relations,China-US ties remain rocky despite freedom for ‘Michaels’ and Huawei’s Meng,"July talks in Tianjin laid way for release but more ‘uncomfortable’ compromises to come, experts warn",https://www.ft.com/content/cfbffa7a-cb62-418a-b3ab-6e6311b6bca8
